id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,time_stamp
1,Bitcoin,BTC,bitcoin,12453,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",21000000.0,19941187.0,19941187.0,False,,1,,,,2025-10-28T14:13:00.000Z,115513.75400262933,49861881733.736664,-13.1325,0.64996331,0.67414923,5.28554988,5.42091366,6.18038018,-1.92494071,2303481369638.4297,59.184,2425788834055.22,,2025-10-28T14:13:00.000Z,,,,,,2025-10-28 09:15:47.760887
1027,Ethereum,ETH,ethereum,10972,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'sophon-ecosystem']",,120698129.77308798,120698129.77308798,True,,2,,,,2025-10-28T14:14:00.000Z,4159.709581288935,30748951974.34801,-18.4071,0.66941389,0.36937266,5.90352207,3.61196824,-2.98097815,10.03878309,502069166860.7693,12.9056,502069166860.77,,2025-10-28T14:14:00.000Z,,,,,,2025-10-28 09:15:47.760887
825,Tether USDt,USDT,tether,155231,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'venom-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'peaq-ecosystem', 'apertum-ecosystem', 'etherlink-ecosystem', 'duckchain-ecosystem', 'onus-ecosystem', 'sophon-ecosystem', 'zedxion-smart-chain-ecosystem', 'xlayer-ecosystem']",,183227527925.8752,185977352465.58524,True,,3,,,,2025-10-28T14:13:00.000Z,0.9997876153407999,116263060000.90807,-13.6197,-0.02530919,-0.0163157,-0.0428797,-0.04952426,-0.02890417,-0.02530114,183188613209.8006,4.7085,185937853728.96,,2025-10-28T14:13:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-10-28 09:15:47.760887
52,XRP,XRP,xrp,1740,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",100000000000.0,60017279517.0,99985778283.0,False,,4,,,,2025-10-28T14:13:00.000Z,2.6559613414514867,4822081485.640409,9.1739,-0.94511241,1.79163794,8.74938131,-4.60426164,-6.18970588,-13.83762473,159403574216.24014,4.0976,265596134145.15,,2025-10-28T14:13:00.000Z,,,,,,2025-10-28 09:15:47.760887
1839,BNB,BNB,bnb,2883,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'made-in-china']",,137738236.67000002,137738236.67000002,False,,5,,,,2025-10-28T14:13:00.000Z,1141.5191230309565,3413299168.566556,-18.369,-0.14208617,-0.29153879,5.31301875,17.23121512,33.25956671,45.50485503,157230831131.36874,4.0398,157230831131.37,,2025-10-28T14:13:00.000Z,,,,,,2025-10-28 09:15:47.760887
1,Bitcoin,BTC,bitcoin,12453,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",21000000.0,19941187.0,19941187.0,False,,1,,,,2025-10-28T14:13:00.000Z,115513.75400262933,49861881733.736664,-13.1325,0.64996331,0.67414923,5.28554988,5.42091366,6.18038018,-1.92494071,2303481369638.4297,59.184,2425788834055.22,,2025-10-28T14:13:00.000Z,,,,,,2025-10-28 09:15:53.064833
1027,Ethereum,ETH,ethereum,10972,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'sophon-ecosystem']",,120698129.77308798,120698129.77308798,True,,2,,,,2025-10-28T14:14:00.000Z,4159.709581288935,30748951974.34801,-18.4071,0.66941389,0.36937266,5.90352207,3.61196824,-2.98097815,10.03878309,502069166860.7693,12.9056,502069166860.77,,2025-10-28T14:14:00.000Z,,,,,,2025-10-28 09:15:53.064833
825,Tether USDt,USDT,tether,155231,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'venom-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'peaq-ecosystem', 'apertum-ecosystem', 'etherlink-ecosystem', 'duckchain-ecosystem', 'onus-ecosystem', 'sophon-ecosystem', 'zedxion-smart-chain-ecosystem', 'xlayer-ecosystem']",,183227527925.8752,185977352465.58524,True,,3,,,,2025-10-28T14:13:00.000Z,0.9997876153407999,116263060000.90807,-13.6197,-0.02530919,-0.0163157,-0.0428797,-0.04952426,-0.02890417,-0.02530114,183188613209.8006,4.7085,185937853728.96,,2025-10-28T14:13:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-10-28 09:15:53.064833
52,XRP,XRP,xrp,1740,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",100000000000.0,60017279517.0,99985778283.0,False,,4,,,,2025-10-28T14:13:00.000Z,2.6559613414514867,4822081485.640409,9.1739,-0.94511241,1.79163794,8.74938131,-4.60426164,-6.18970588,-13.83762473,159403574216.24014,4.0976,265596134145.15,,2025-10-28T14:13:00.000Z,,,,,,2025-10-28 09:15:53.064833
1839,BNB,BNB,bnb,2883,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'made-in-china']",,137738236.67000002,137738236.67000002,False,,5,,,,2025-10-28T14:13:00.000Z,1141.5191230309565,3413299168.566556,-18.369,-0.14208617,-0.29153879,5.31301875,17.23121512,33.25956671,45.50485503,157230831131.36874,4.0398,157230831131.37,,2025-10-28T14:13:00.000Z,,,,,,2025-10-28 09:15:53.064833
